Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2019-02-21,213,1,1,596,1975,1975
astro,2019-02-21,232,1,1,697,2265,2265
astro,2019-02-21,332,1,1,697,2285,2285
astro,2019-02-21,405,1,1,627,2025,2025
astro,2019-02-21,535,2,2,1056,3360,3360
astro,2016-12-26,208,2,2,1056,2906,3731
astro,2016-12-26,232,1,1,697,2200,3020
astro,2016-12-26,235,2,2,1056,2906,4076
astro,2016-12-26,237,1,1,692,1655,2055
astro,2016-12-26,241,2,2,962,2710,3535
astro,2016-12-26,327,1,1,596,1830,2690
astro,2016-12-26,338,0,1,535,1820,2790
astro,2016-12-26,418,1,1,761,2110,2975
astro,2016-12-26,427,1,1,596,1885,2750
astro,2016-12-26,428,0,1,464,1635,2320
astro,2016-12-26,519,1,1,784,2330,3195
astro,2016-12-26,604,1,1,627,1845,2710
astro,2016-12-26,627,1,1,596,1895,2760
astro,2017-03-29,102,1,1,479,1525,1525
astro,2017-03-29,537,1,1,692,2100,2100
astro,2017-03-29,622,1,1,784,2500,2500
astro,2016-11-16,208,2,2,1056,2781,3076
astro,2016-11-16,217,1,1,649,1900,1915
astro,2016-11-16,224,1,1,697,1995,2025
astro,2016-11-16,235,2,2,1056,2781,3151
astro,2016-11-16,238,0,1,535,1760,1790
astro,2016-11-16,241,2,2,962,2585,2880
astro,2016-11-16,307,1,1,651,1777,1792
astro,2016-11-16,327,1,1,596,1725,1740
astro,2016-11-16,335,2,2,1056,2786,3081
astro,2016-11-16,401,1,1,604,1699,1724
astro,2016-11-16,407,1,1,651,1822,1837
astro,2016-11-16,427,1,1,596,1835,1850
astro,2016-11-16,430,0,1,464,1580,1610
astro,2016-11-16,432,1,1,697,2055,2085
astro,2016-11-16,519,1,1,784,2280,2295
astro,2016-11-16,524,1,1,697,2010,2040
astro,2016-11-16,534,1,1,761,2015,2030
astro,2016-11-16,636,1,1,683,1815,1830
astro,2017-12-14,202,2,2,962,2500,2500
astro,2017-12-14,340,2,2,1000,2650,2650
astro,2017-12-14,402,2,2,962,2525,2525
astro,2017-12-14,408,2,2,1056,2650,2650
astro,2017-12-14,430,0,1,464,1575,1575
astro,2017-12-14,501,1,1,604,1775,1775
astro,2017-12-14,502,2,2,962,2550,2550
astro,2017-12-14,508,2,2,1056,2700,2700
astro,2017-12-14,602,2,2,962,2575,2600
astro,2018-04-23,237,1,1,692,1740,1740
astro,2018-04-23,504,1,1,627,1995,1995
astro,2018-04-23,506,0,1,535,1700,1700
astro,2018-04-23,616,0,1,464,1652,1652
astro,2018-04-23,629,1,1,718,2500,2500
astro,2018-04-23,634,1,1,761,2450,2450
astro,2018-04-23,638,0,1,535,1690,1690
astro,2017-10-28,201,1,1,604,1800,1800
astro,2017-10-28,219,1,1,656,1865,1865
astro,2017-10-28,225,1,1,649,1975,1975
astro,2017-10-28,229,1,1,718,2325,2325
astro,2017-10-28,238,0,1,535,1575,1575
astro,2017-10-28,301,1,1,604,1775,1775
astro,2017-10-28,302,2,2,962,2850,2850
astro,2017-10-28,322,1,1,784,2230,2230
astro,2017-10-28,331,1,1,596,1750,1750
astro,2017-10-28,410,1,1,697,2015,2015
astro,2017-10-28,419,1,1,784,2265,2265
astro,2017-10-28,424,1,1,697,2060,2060
astro,2017-10-28,435,2,2,1056,3025,3025
astro,2017-10-28,439,1,1,627,1925,1925
astro,2017-10-28,515,1,1,596,1715,1715
astro,2017-10-28,522,1,1,784,2300,2300
astro,2017-10-28,637,1,1,692,2025,2025
astro,2017-10-28,641,2,2,962,2900,2900
astro,2016-10-15,202,2,2,962,2470,2485
astro,2016-10-15,204,1,1,627,1675,2000
astro,2016-10-15,208,2,2,1056,2840,3175
astro,2016-10-15,210,1,1,697,1985,2315
astro,2016-10-15,222,1,1,656,1845,2175
astro,2016-10-15,224,1,1,697,2035,2365
astro,2016-10-15,238,0,1,535,1790,2175
astro,2016-10-15,241,2,2,962,2500,2835
astro,2016-10-15,302,2,2,962,2475,2490
astro,2016-10-15,327,1,1,596,1557,1857
astro,2016-10-15,335,2,2,1056,2711,3116
astro,2016-10-15,430,0,1,464,1620,1755
astro,2016-10-15,432,1,1,697,2025,2340
astro,2016-10-15,641,2,2,962,2540,2555
astro,2017-01-30,214,0,1,464,1349,1349
astro,2017-01-30,333,1,1,679,2075,2075
astro,2017-01-30,338,0,1,535,1750,1750
astro,2017-01-30,403,2,2,1000,3050,3050
astro,2017-01-30,413,1,1,596,1865,1865
astro,2017-02-26,203,2,2,1000,3100,3100
astro,2017-02-26,321,1,1,776,2400,2400
astro,2017-02-26,403,2,2,1000,3200,3200
astro,2017-02-26,442,1,1,658,2300,2300
astro,2017-02-26,511,1,1,655,2200,2200
astro,2017-02-26,531,1,1,596,2000,2000
astro,2017-02-26,537,1,1,692,1404,1404
astro,2016-09-24,202,2,2,962,2565,2600
astro,2016-09-24,208,2,2,1056,2930,3060
astro,2016-09-24,210,1,1,697,2000,2240
astro,2016-09-24,213,1,1,596,1667,1907
astro,2016-09-24,222,1,1,656,1860,2100
astro,2016-09-24,224,1,1,697,2050,2290
astro,2016-09-24,225,1,1,649,1860,1950
astro,2016-09-24,238,0,1,535,1670,1875
astro,2016-09-24,302,2,2,962,2570,2605
astro,2016-09-24,304,1,1,627,1670,1760
astro,2016-09-24,415,1,1,596,1587,1677
astro,2016-09-24,432,1,1,697,2095,2185
astro,2016-09-24,435,2,2,1056,2796,2831
astro,2016-09-24,538,0,1,535,1660,1735
astro,2016-09-24,641,2,2,962,2635,2670
astro,2017-03-03,203,2,2,1000,3100,3100
astro,2017-03-03,321,1,1,776,2400,2400
astro,2017-03-03,403,2,2,1000,3200,3200
astro,2017-03-03,442,1,1,658,2300,2300
astro,2017-03-03,511,1,1,655,2200,2200
astro,2017-03-03,531,1,1,596,2000,2000
astro,2017-03-03,537,1,1,692,2250,2250
astro,2017-12-22,202,2,2,962,2500,2500
astro,2017-12-22,315,1,1,596,1853,1853
astro,2017-12-22,340,2,2,1000,2650,2650
astro,2017-12-22,402,2,2,962,2525,2525
astro,2017-12-22,404,1,1,627,1905,1905
astro,2017-12-22,408,2,2,1056,2650,2650
astro,2017-12-22,502,2,2,962,2550,2550
astro,2017-12-22,503,2,2,1000,2700,2700
astro,2018-01-07,202,2,2,962,2500,2500
astro,2018-01-07,217,1,1,649,2170,2170
astro,2018-01-07,315,1,1,596,1853,1853
astro,2018-01-07,340,2,2,1000,2650,2650
astro,2018-01-07,438,0,1,535,1720,1720
astro,2018-01-07,503,2,2,1000,2700,2700
astro,2017-12-12,340,2,2,1000,2650,2650
astro,2017-12-12,402,2,2,962,2525,2525
astro,2017-12-12,430,0,1,464,1575,1575
astro,2017-12-12,501,1,1,604,1775,1775
astro,2017-12-12,502,2,2,962,2550,2550
astro,2017-12-12,508,2,2,1056,2700,2700
astro,2017-12-12,527,1,1,596,1800,1800
astro,2017-12-12,602,2,2,962,2600,2600
